"Credit Card Type","Vrsta kreditne kartice"
"Add New User","Dodaj novega uporabnika"
"Items that you don","Elementi, ki jih"
"Magento Commerce - Administrative Panel","Magento Commerce - Administracijska plošča"
"Magento Admin","Magento Admin"
"Subtotal","Vmesna vsota"
"Roles","Vloge"
"Shipping","Dostava"
"Products","Izdelki"
"Position","Pozicija"
"Fixed","Fiksno"
"Tax","Davek"
"Expiration Date","Datum poteka"
"Lifetime Sales","Prodaja celotne življenjske dobe"
"SKU","SKU"
"Log Out","Odjava"
"Failed","Ni uspešno"
"Billing Address","Naslov za izstavitev računa"
"Log into Magento Admin Page","Prijava v stran administracije Magento"
"Email","E-pošta"
"Customer Group:","Skupina kupcev:"
"Newsletter Subscribers","Naročniki e-novic"
"Product Name","Ime produkta"
"Country","Država"
"Categories","Kategorije"
"Card Verification Number","Potrditvena številka kartice"
"Customer Groups","Skupine kupcev"
"Options","Možnosti"
"Last Name","Priimek"
"Roles Resources","Viri vlog"
"Store","Trgovina"
"Online Customers","Kupci na strani"
"Add","Dodaj"
"Shopping Cart","Košarica nakupa"
"Customers","Kupci"
"Add New Role","Dodaj novo vlogo"
"Shipping Address","Naslov za dostavo"
"Global Record Search","Iskanje globalnih vnosov"
"Grand Total","Skupaj v celoti"
"Dashboard","Nadzorna plošča"
"Are you sure you want to do this?","Ali ste prepričani, da želite to storiti?"
"Role Users","Uporabniki vlog"
"Cancel","Prekliči"
"Personal Information","Osebne informacije"
"Add New Template","Dodaj novo predlogo"
"First Name","Ime"
"What is this?","Kaj je to?"
"Users","Uporabniki"
"Price","Cena"
"Edit Role","Uredi vlogo"
"Magento Logo","Logotip Magento"
"Name","Ime"
"Newsletter Queue","Čakalna vrsta e-novic"
"Remove","Odstrani"
"Name on Card","Ime na kartici"
"Account Created on:","Račun ustvarjen:"
"Account Created in:","Račun ustvarjen v:"
"Manage Titles (Size, Color, etc.)","Upravljanje naslovov (Velikost, Barva itd.)"
"Total","Skupaj"
"Wishlist Report","Poročilo seznama želja"
